latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.32159969615422,11.327948187171955,16,Curtatone,La taverna di san giuseppe,Tuscan,Via giovanni dupre 132,169.0,4.8,745.3950068003921
43.32159969615422,11.327948187171955,16,Curtatone,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,177.8481186916926
43.32159969615422,11.327948187171955,16,Curtatone,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,231.84660552404864
43.32159969615422,11.327948187171955,16,Curtatone,La chiacchiera,Italian,Via costa di san antonio 4,23.0,4.3,181.20068979429377
43.32159969615422,11.327948187171955,16,Curtatone,Café nannini,Cafes,Piazza matteotti 32,14.0,4.4,60.45122208199806
43.32159969615422,11.327948187171955,16,Curtatone,Il bargello,"Bars, trattorie, tuscan",Via di citta' 53,23.0,4.5,465.0334648689132
43.32159969615422,11.327948187171955,16,Curtatone,Pizzeria alle scalette,Pizza,Viale curtatone 18,5.0,4.6,26.635507807969088
43.32159969615422,11.327948187171955,16,Curtatone,Antica osteria da divo,Italian,Via franciosa 25,67.0,4.2,412.4497868613417
43.32159969615422,11.327948187171955,16,Curtatone,Salefino vino e cucina,"Tuscan, wine bars",Via degli umiliati 1,11.0,4.5,298.4833678900178
43.32159969615422,11.327948187171955,16,Curtatone,Ristorante san domenico,Tuscan,Via di camporegio 15,7.0,4.7,163.22780679686343
43.32159969615422,11.327948187171955,16,Curtatone,Nannini,"Desserts, patisserie/cake shop, cafes",Via banchi di sopra 24,20.0,4.2,376.55797407280886
43.32159969615422,11.327948187171955,16,Curtatone,Fonte giusta,Tuscan,Via camollia 102,21.0,4.6,454.91040632564426
43.32159969615422,11.327948187171955,16,Curtatone,Taverna di cecco,Tuscan,Via cecco angliolieri 19,52.0,4.5,369.2584912395237
43.32159969615422,11.327948187171955,16,Curtatone,La prosciutteria,"Wine bars, tuscan",Via di pantaneto,34.0,4.7,718.0945365772096
43.32159969615422,11.327948187171955,16,Curtatone,Antica trattoria papei,"Tuscan, trattorie",Via del mercato 6,35.0,4.2,554.194906979694
43.32159969615422,11.327948187171955,16,Curtatone,Prètto,"Salumerie, cheese shops, tuscan",Via dei termini 4,12.0,4.1,343.71631006857746
43.32159969615422,11.327948187171955,16,Curtatone,Il masgalano,"Tuscan, pizza",Via camporegio 1,4.0,4.8,152.82984033641412
43.32159969615422,11.327948187171955,16,Curtatone,Pizzeria di nonno mede,"Pizza, tuscan",Via camporegio 21,16.0,4.1,151.88989586507486
43.32159969615422,11.327948187171955,16,Curtatone,Trattoria la tellina,"Mediterranean, tuscan, trattorie",Via delle terme 52,6.0,4.3,256.6346024096472
43.32159969615422,11.327948187171955,16,Curtatone,Vi vace,"Pizza, italian",Via stalloreggi 64,34.0,4.3,695.068416472932
43.32159969615422,11.327948187171955,16,Curtatone,Pizzeria alle scalette,Pizzeria,Viale curtatone 18,,,22.0
43.32159969615422,11.327948187171955,16,Curtatone,Zest ristorante & winebar,"Wine bar, cafe, coffee, and tea house, italian restaurant",Costa di sant'antonio 13,,,179.0
43.32159969615422,11.327948187171955,16,Curtatone,Osteria il campaccio,Trattoria,Vicolo del campaccio 2,,,176.0
43.32159969615422,11.327948187171955,16,Curtatone,Morbidi,Deli,Via b. di sopra 73,,,248.0
43.32159969615422,11.327948187171955,16,Curtatone,Osteria l'osteria,Italian restaurant,Via dei rossi 79,,,342.0
43.32159969615422,11.327948187171955,16,Curtatone,Enzo,"Hair salon, restaurant",Via camollia 49,,,299.0
43.32159969615422,11.327948187171955,16,Curtatone,Antica osteria da divo,"French restaurant, italian restaurant, mediterranean restaurant",Via franciosa 25,,,398.0
43.32159969615422,11.327948187171955,16,Curtatone,Caffè fiorella,Café,Via di città 13,,,394.0
43.32159969615422,11.327948187171955,16,Curtatone,Ristorante taverna di cecco,Italian restaurant,Via cecco angiolieri 19,,,348.0
43.32159969615422,11.327948187171955,16,Curtatone,Pasticceria corsini siena,"Bakery, café, restaurant",Viale a. diaz,,,391.0
43.314553575496504,11.331021341104474,10,S. agostino,La taverna di san giuseppe,Tuscan,Via giovanni dupre 132,169.0,4.8,116.51204037035676
43.314553575496504,11.331021341104474,10,S. agostino,Il bargello,"Bars, trattorie, tuscan",Via di citta' 53,23.0,4.5,377.9902043525125
43.314553575496504,11.331021341104474,10,S. agostino,Vi vace,"Pizza, italian",Via stalloreggi 64,34.0,4.3,245.5150549441023
43.314553575496504,11.331021341104474,10,S. agostino,Numero unico,Italian,Via di citta 125,17.0,4.5,229.80562391061432
43.314553575496504,11.331021341104474,10,S. agostino,Ri.me.,Tuscan,Via giovanni duprè 90,15.0,4.3,150.1032246321722
43.314553575496504,11.331021341104474,10,S. agostino,Antica trattoria papei,"Tuscan, trattorie",Via del mercato 6,35.0,4.2,355.47822262044923
43.314553575496504,11.331021341104474,10,S. agostino,Ostaria dá cice,Italian,Via san pietro 32,14.0,4.0,156.5535925287775
43.314553575496504,11.331021341104474,10,S. agostino,Antica osteria da divo,Italian,Via franciosa 25,67.0,4.2,445.3660066143102
43.314553575496504,11.331021341104474,10,S. agostino,La prosciutteria,"Wine bars, tuscan",Via di pantaneto,34.0,4.7,513.7995026062024
43.314553575496504,11.331021341104474,10,S. agostino,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,645.9591950321129
43.314553575496504,11.331021341104474,10,S. agostino,Osteria castelvecchio,Tuscan,Via castelvecchio 65,10.0,4.4,109.79334227352858
43.314553575496504,11.331021341104474,10,S. agostino,Spadaforte,Pizza,Piazza del campo 13,11.0,4.3,373.35999249433934
43.314553575496504,11.331021341104474,10,S. agostino,Ristorante san desiderio,Italian,Piazza l. bonelli 2,16.0,3.9,374.9698477042822
