restaurant_name,categories,address,station_name,distance
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Curtatone,22
Zest Ristorante & Winebar,"Wine Bar, Cafe, Coffee, and Tea House, Italian Restaurant",Costa di Sant'Antonio 13,Curtatone,179
Osteria Il Campaccio,Trattoria,Vicolo del Campaccio 2,Curtatone,176
Morbidi,Deli,Via B. di Sopra 73,Curtatone,248
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Curtatone,342
Enzo,"Hair Salon, Restaurant",Via Camollia 49,Curtatone,299
Antica Osteria da Divo,"French Restaurant, Italian Restaurant, Mediterranean Restaurant",Via Franciosa 25,Curtatone,398
Caffè Fiorella,Café,Via di Città 13,Curtatone,394
Ristorante Taverna di Cecco,Italian Restaurant,Via Cecco Angiolieri 19,Curtatone,348
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Curtatone,391
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Agostino,109
Osteria Castelvecchio,"Pizzeria, Trattoria, Tuscan Restaurant",Via Castelvecchio 65,S. Agostino,102
Osteria da Cice,Italian Restaurant,Via San Pietro 32,S. Agostino,149
4 Cantoni Bar Caffetteria,Café,Piazza Postierla 5,S. Agostino,221
Gino Cacino,Food and Beverage Retail,Piazza del Mercato 31,S. Agostino,352
Grotta Gallo Nero,Italian Restaurant,Via Porrione 65,S. Agostino,448
Gallo Nero,Italian Restaurant,Via del Porrione 65,S. Agostino,458
Caffè Fiorella,Café,Via di Città 13,S. Agostino,468
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Agostino,507
Zest Ristorante & Winebar,"Wine Bar, Cafe, Coffee, and Tea House, Italian Restaurant",Costa di Sant'Antonio 13,S. Agostino,643
Osteria La Sosta di Violante,Trattoria,Via di Pantaneto 115,S. Girolamo,123
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Girolamo,223
Gallo Nero,Italian Restaurant,Via del Porrione 65,S. Girolamo,275
Grotta Gallo Nero,Italian Restaurant,Via Porrione 65,S. Girolamo,295
Gino Cacino,Food and Beverage Retail,Piazza del Mercato 31,S. Girolamo,399
Ristorante La Finestra,"Diner, Italian Restaurant",Piazza Mercato 14,S. Girolamo,414
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Girolamo,458
Osteria Il Carroccio,Trattoria,Via Casato di Sotto 32,S. Girolamo,474
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,S. Girolamo,473
Osteria Castelvecchio,"Pizzeria, Trattoria, Tuscan Restaurant",Via Castelvecchio 65,S. Girolamo,567
Osteria Il Campaccio,Trattoria,Vicolo del Campaccio 2,Fortezza,429
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Fortezza,418
Zest Ristorante & Winebar,"Wine Bar, Cafe, Coffee, and Tea House, Italian Restaurant",Costa di Sant'Antonio 13,Fortezza,456
Antica Osteria da Divo,"French Restaurant, Italian Restaurant, Mediterranean Restaurant",Via Franciosa 25,Fortezza,487
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Fortezza,515
Bar Silvana,,Viale XXIV MAGGIO 52,Fortezza,249
Enzo,"Hair Salon, Restaurant",Via Camollia 49,Fortezza,566
Ristorante San Desiderio,"Pizzeria, Italian Restaurant",Piazzetta Bonelli Luigi 2,Fortezza,623
Caffè Fiorella,Café,Via di Città 13,Fortezza,648
Morbidi,Deli,Via B. di Sopra 73,Fortezza,612
Ravioli Wang,Chinese Restaurant,Viale Vittorio Emanuele II 38,Antiporto,122
Turkish Pace Kebap,Turkish Restaurant,Viale Vittorio Emanuele II 21,Antiporto,237
Sushiko,Sushi Restaurant,Piazzale Carlo Rosselli 25,Antiporto,199
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Antiporto,443
Charlie Bar,"Wine Bar, Café, Restaurant",Viale Camillo Benso Conte di Cavour 58,Antiporto,252
Osteria di Kamollia,"Trattoria, Tuscan Restaurant",Via Camollia 114,Antiporto,550
Osteria La Piana,Trattoria,Via Camollia 122,Antiporto,500
Trattoria Fonte Giusta,"Trattoria, Tuscan Restaurant",Via Camollia 102,Antiporto,564
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Antiporto,565
Enzo,"Hair Salon, Restaurant",Via Camollia 49,Antiporto,712
Burger King,"Burger Joint, Fast Food Restaurant",Viale Toselli 118,Due Ponti,66
Donna Ripalta,"BBQ Joint, Italian Restaurant",Viale Pietro Toselli 41,Due Ponti,109
Festival Snack Bar,Dining and Drinking,Viale Pietro Toselli 120,Due Ponti,150
Penny Market,"Dining and Drinking, Grocery Store",Via Toselli 11,Due Ponti,152
Rakki Sushi,Sushi Restaurant,Piazza Maestri del Lavoro 31,Due Ponti,163
Tabaccheria Due Ponti,Tobacco Store,Strada Statale 73 Levante 1,Due Ponti,181
Pasticceria Dolceria 2 Ponti,Pastry Shop,Sts 73 Levante 17,Due Ponti,225
Pasticceria Nocino,Café,Via Aretina 13,Due Ponti,886
Dolce & Salato,Breakfast Spot,viale Europa 2,Due Ponti,592
Bar Dell'Artigiano,"Bar, Café, Restaurant",Viale del Artigianato 13,Due Ponti,814
Fontebecci,"Pizzeria, Italian Restaurant",Via Fiorentina 133,Napoli,64
Pizzeria Poppi,Pizzeria,Via Fiorentina 105,Napoli,101
Al Fiumino,"Wine Bar, Buffet, Gastropub",Via Giovanni Paolo II,Napoli,364
Ristorante Il Mestolo,"Italian Restaurant, Seafood Restaurant",Via Fiorentina 81,Napoli,226
Bar Acquacalda,"Bar, Café, Restaurant",Via delle Province 14,Napoli,298
La Veranda,Pizzeria,Piazza Calabria 20,Napoli,601
Osteria Tanaliberatutti,"Deli, Italian Restaurant",Via Uopini 1,Napoli,538
Bar Le Terrazze,"Café, Restaurant",Via Quinto Settano 19,Napoli,694
Bar Giglio,"Bar, Café, Restaurant",Via Colombini 32,Napoli,750
Ristorante Pizzeria Il Jolly,"Pizzeria, Italian Restaurant",Via Fiorentina 13,Napoli,822
Mensa San Miniato Ristorante,Restaurant,Via de Nicola 9,Ospedale,206
Il Palio Restaurant,Restaurant,Via A. Lombardi 41 Four Points by Sheraton,Ospedale,327
Pizzeria Scacciapensieri,Pizzeria,Via Nazareno Orlandi 21,Ospedale,508
La Pizzeria di San Miniato,Pizzeria,Piazza Palmiro Togliatti 2,Ospedale,523
Ristorante Colleverde,Pizzeria,Strada di Scacciapensieri 47,Ospedale,770
Pizzeria Ristorante Camping Colleverde,Pizzeria,Strada di Scacciapensieri 47,Ospedale,783
Bar Giglio,"Bar, Café, Restaurant",Via Colombini 32,Acquacalda,163
Bar Acquacalda,"Bar, Café, Restaurant",Via delle Province 14,Acquacalda,372
