restaurant_name,categories,address,review_count,rating,station_name,distance
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,Curtatone,745.3950068003921
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Curtatone,177.8481186916926
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Curtatone,231.84660552404864
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Curtatone,181.20068979429374
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Curtatone,60.45122208199806
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,Curtatone,465.0334648689132
Pizzeria alle Scalette,Pizza,Viale Curtatone 18,5,4.6,Curtatone,26.635507807969088
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,Curtatone,412.4497868613417
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Curtatone,298.4833678900178
Ristorante San Domenico,Tuscan,Via di camporegio 15,7,4.7,Curtatone,163.22780679686343
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,Curtatone,376.55797407280886
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Curtatone,454.91040632564426
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Curtatone,369.2584912395237
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,Curtatone,718.0945365772096
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,Curtatone,554.194906979694
Prètto,"Salumerie, Cheese Shops, Tuscan",Via dei Termini 4,12,4.1,Curtatone,343.71631006857746
Il Masgalano,"Tuscan, Pizza",Via Camporegio 1,4,4.8,Curtatone,152.82984033641412
Pizzeria di Nonno Mede,"Pizza, Tuscan",Via Camporegio 21,16,4.1,Curtatone,151.88989586507486
Trattoria La Tellina,"Mediterranean, Tuscan, Trattorie",Via delle Terme 52,6,4.3,Curtatone,256.6346024096472
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,Curtatone,695.068416472932
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,S. Agostino,116.51204037035677
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,S. Agostino,377.9902043525125
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,S. Agostino,245.5150549441023
Numero Unico,Italian,Via di Citta 125,17,4.5,S. Agostino,229.80562391061432
Ri.Me.,Tuscan,Via Giovanni Duprè 90,15,4.3,S. Agostino,150.1032246321722
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,S. Agostino,355.47822262044923
Ostaria dá Cice,Italian,Via San Pietro 32,14,4.0,S. Agostino,156.5535925287775
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,S. Agostino,445.3660066143102
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,S. Agostino,513.7995026062024
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,S. Agostino,645.9591950321129
Osteria Castelvecchio,Tuscan,Via Castelvecchio 65,10,4.4,S. Agostino,109.79334227352858
Spadaforte,Pizza,Piazza del Campo 13,11,4.3,S. Agostino,373.35999249433934
Ristorante San Desiderio,Italian,Piazza L. Bonelli 2,16,3.9,S. Agostino,374.96984770428213
Pizzicheria de Miccoli,Pizza,Via di Città 95,26,4.6,S. Agostino,273.87921888412967
Antica Trattoria Stalloreggi,Tuscan,Via Stalloreggi 37,5,4.2,S. Agostino,176.98572633515437
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,S. Agostino,460.2775829889477
Osteria Nonna Gina,Tuscan,"Via Piano dei Mantellini, 2",38,4.2,S. Agostino,302.42143628284873
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,S. Agostino,636.0952648988349
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,S. Agostino,610.0620909245414
Osteria Permalico,"Desserts, Wine Bars, Italian",Via Costa Larga 4,5,4.6,S. Agostino,225.6070924441927
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,S. Girolamo,461.20096407182047
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,S. Girolamo,222.53762738772033
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,S. Girolamo,429.7383012418058
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,S. Girolamo,277.35628275338746
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,S. Girolamo,545.8638202332528
Osteria La Sosta di Violante,Tuscan,Via di Pantaneto 115,25,4.6,S. Girolamo,123.36406670033233
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,S. Girolamo,784.9978948398616
Bio & Chocolate,"Cafes, Desserts, Vegan",Via Pantaneto 75,6,4.8,S. Girolamo,246.2712721802299
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,S. Girolamo,762.0858176320125
Ri.Me.,Tuscan,Via Giovanni Duprè 90,15,4.3,S. Girolamo,447.0056201412074
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,S. Girolamo,573.9060734249756
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,S. Girolamo,741.5985604750571
Numero Unico,Italian,Via di Citta 125,17,4.5,S. Girolamo,571.4223858193872
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,S. Girolamo,706.039017982908
Osteria Babazuf,Pizza,"Via di Pantaneto, 85",12,4.7,S. Girolamo,226.61489290855485
Osteria Le Logge,Italian,Via del Porrione 33,33,4.1,S. Girolamo,399.0541747992876
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,S. Girolamo,781.2253871865912
Spadaforte,Pizza,Piazza del Campo 13,11,4.3,S. Girolamo,510.8926641727967
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,S. Girolamo,560.5996744621643
L'orto de' pecci,Italian,Via di Porta Giustizia 39,2,5.0,S. Girolamo,250.27571170718153
La Taverna di San Giuseppe,Tuscan,Via Giovanni Dupre 132,169,4.8,Fortezza,885.992016456265
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Fortezza,458.7434934602833
Antica Osteria da Divo,Italian,Via Franciosa 25,67,4.2,Fortezza,483.1803350838144
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,Fortezza,672.625868490733
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Fortezza,461.97612536032403
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,Fortezza,1016.6053701749145
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Fortezza,460.57547495669
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Fortezza,558.3799412847043
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Fortezza,653.4525306559705
Vi Vace,"Pizza, Italian",Via Stalloreggi 64,34,4.3,Fortezza,701.5592869266634
Antica Trattoria Papei,"Tuscan, Trattorie",Via del Mercato 6,35,4.2,Fortezza,787.6409772933519
Ristorante San Domenico,Tuscan,Via di camporegio 15,7,4.7,Fortezza,394.4324311798781
Numero Unico,Italian,Via di Citta 125,17,4.5,Fortezza,715.4319767767048
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Fortezza,707.9836792142835
Il Masgalano,"Tuscan, Pizza",Via Camporegio 1,4,4.8,Fortezza,333.4194326610983
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Fortezza,579.4947325335404
Ri.Me.,Tuscan,Via Giovanni Duprè 90,15,4.3,Fortezza,870.201133815654
Pizzeria alle Scalette,Pizza,Viale Curtatone 18,5,4.6,Fortezza,395.28932369786094
Nannini,"Desserts, Patisserie/Cake Shop, Cafes",Via Banchi di Sopra 24,20,4.2,Fortezza,691.1534525262215
Gallo Nero,Tuscan,Via del Porrione 65,11,4.4,Fortezza,945.5898802856851
Ravioli Wang,Chinese,Viale Vittorio Emanuele II 38,9,4.8,Antiporto,120.58067642097888
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Antiporto,1132.2463792402077
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Antiporto,563.9911785537508
Il Vinaio,"Sandwiches, Tuscan, Fast Food",Via Camollia 167,12,4.3,Antiporto,414.7080485270773
Compagnia dei Vinattieri,Tuscan,"Via delle Terme, 79",24,4.3,Antiporto,1177.428981530476
Taverna di Cecco,Tuscan,Via Cecco Angliolieri 19,52,4.5,Antiporto,1287.2085725139164
La Chiacchiera,Italian,Via Costa di San Antonio 4,23,4.3,Antiporto,1135.7333916353962
Salefino Vino e Cucina,"Tuscan, Wine Bars",Via degli Umiliati 1,11,4.5,Antiporto,729.2246722651199
Café Nannini,Cafes,Piazza Matteotti 32,14,4.4,Antiporto,965.2285567437651
Ristorante Pizzeria I Gabellieri,Pizza,Via V. Emanuele 75,2,4.0,Antiporto,21.55550155548726
Ristorante San Domenico,Tuscan,Via di camporegio 15,7,4.7,Antiporto,1102.8594267706262
Osteria di Kamollia,Tuscan,Via di Camollia 114,9,4.2,Antiporto,553.8601830634374
L'oro di Siena,"Pizza, Italian, Trattorie",Via Garibaldi 61,9,4.8,Antiporto,892.8690137883399
Osteria Il Grattacielo,Italian,Via Pontani 8,36,4.1,Antiporto,1205.0572007002397
Sushiko,"Sushi Bars, Asian Fusion",Piazzale Carlo Rosselli 25,2,4.0,Antiporto,216.55854892762764
Pizzeria alle Scalette,Pizza,Viale Curtatone 18,5,4.6,Antiporto,979.1505547054105
Ristorante Da Enzo,Italian,Via Camollia 49,7,4.6,Antiporto,691.8371797785406
Trattoria La Tellina,"Mediterranean, Tuscan, Trattorie",Via delle Terme 52,6,4.3,Antiporto,1201.964874917085
Il Masgalano,"Tuscan, Pizza",Via Camporegio 1,4,4.8,Antiporto,1060.5260136820502
Ristorante Minohana,Tuscan,Viale Vittorio Emanuele II 32,2,1.0,Antiporto,152.06299121902896
Donna Ripalta,"Tuscan, Seafood, Apulian",Viale Pietro Toselli 41,1,4.0,Due Ponti,84.06785457395976
Havana Club,"Cuban, Steakhouses",Piazza Maestri del Lavoro 27,1,5.0,Due Ponti,217.53998284698952
Albergo Certosa di Maggiano,"Hotels & Travel, Restaurants","Str. di Certosa, 82",2,5.0,Due Ponti,822.5458659038122
Fontebecci,"Pizza, Italian",Via Fiorentina 133,2,2.0,Napoli,36.86679666722005
Mc Donald's,"Fast Food, Burgers",Via Fiorentina 124,1,2.0,Napoli,135.94427190183262
la veranda,Italian,Piazza Calabria,6,4.7,Napoli,601.6252259216968
Antica Trattoria Botteganova,"Italian, Bars",Strada Chiantigiana 29,1,5.0,Napoli,659.4005888623332
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Napoli,605.2291600282962
Hotel Garden,"Venues & Event Spaces, Hotels, Italian",Via Custoza 2,13,2.8,Acquacalda,1146.6171969068578
