resturant_name,categories,address,station_name,distance
Pizzeria Alle Scalette,Pizzeria,Viale Curtatone 18,Curtatone,22
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,Curtatone,367
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,Curtatone,342
Il Masgalano,"Café, Gelato Shop",Via Camporegio 1,Curtatone,156
Ristorante San Domenico,Restaurant,Via Camporegio 17,Curtatone,170
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,Curtatone,356
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,Curtatone,618
Pasticceria Corsini Siena,"Bakery, Café, Restaurant",Viale A. Diaz,Curtatone,391
Osteria Il Vinaio,"Deli, Tuscan Restaurant",Via Camollia 167,Curtatone,561
Morbidi,Deli,Via B. di Sopra 73,Curtatone,248
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Agostino,109
La Vecchia Latteria,"Ice Cream Parlor, Vegan and Vegetarian Restaurant",Via San Pietro 10,S. Agostino,205
Grom,"Ice Cream Parlor, Restaurant",13 Via Banchi di Sopra 11,S. Agostino,535
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Agostino,507
Osteria Il Ghibellino,"Diner, Italian Restaurant, Mediterranean Restaurant",Via dei Pellegrini 26,S. Agostino,430
Nannini,"Bakery, Café, Dessert Shop",Via Banchi di Sopra 24,S. Agostino,555
Osteria L'Osteria,Italian Restaurant,Via dei Rossi 79,S. Agostino,796
La Bottega Del Caffè,"Bar, Café, Restaurant",Via Banchi di Sotto 39,S. Agostino,520
Trattoria Papei,Trattoria,Piazza del Mercato 6,S. Agostino,308
4 Cantoni Bar Caffetteria,Café,Piazza Postierla 5,S. Agostino,221
La Prosciutteria,"Bar, Italian Restaurant, Tapas Restaurant",Via di Pantaneto 89,S. Girolamo,223
La Taverna di San Giuseppe,"Tuscan Restaurant, Mediterranean Restaurant",Via Giovanni Duprè 132,S. Girolamo,458
Gino Cacino,Food and Beverage Retail,Piazza del Mercato 31,S. Girolamo,399
